start_time,duration,transaction_name,user_count,success,failure_message,cold,latency,function,invoke_time,activation_id
2021-11-11 16:42:34,1918,cham_100-1636666954.4769032,5,True,True : 1.9181041717529297 : d132d37e8bc9408cb2d37e8bc9b08c6f,True,1.9181041717529297,cham_100,1636666954.4769032,d132d37e8bc9408cb2d37e8bc9b08c6f
2021-11-11 16:42:34,2089,gzip_150-1636666954.477826,5,True,True : 2.0890631675720215 : ddf9a5c22c46452ab9a5c22c46052ab8,True,2.0890631675720215,gzip_150,1636666954.477826,ddf9a5c22c46452ab9a5c22c46052ab8
2021-11-11 16:42:36,1034,hello_150-1636666956.4773767,15,True,True : 1.034256935119629 : 976b7d5ded794cd0ab7d5ded79dcd009,True,1.034256935119629,hello_150,1636666956.4773767,976b7d5ded794cd0ab7d5ded79dcd009
2021-11-11 16:42:36,1446,lin_pack_100-1636666956.4805048,15,True,True : 1.4462451934814453 : 0939831e16cf46c1b9831e16cfc6c1aa,True,1.4462451934814453,lin_pack_100,1636666956.4805048,0939831e16cf46c1b9831e16cfc6c1aa
2021-11-11 16:42:36,1452,gzip_75-1636666956.479099,15,True,True : 1.451646327972412 : c050089f2c6248f690089f2c62b8f665,True,1.451646327972412,gzip_75,1636666956.479099,c050089f2c6248f690089f2c62b8f665
2021-11-11 16:42:37,1953,dd_150-1636666957.4844584,20,True,True : 1.9525041580200195 : dacc6f7a01c7490e8c6f7a01c7290e2e,True,1.9525041580200195,dd_150,1636666957.4844584,dacc6f7a01c7490e8c6f7a01c7290e2e
2021-11-11 16:42:38,1778,aes_150-1636666958.497809,25,True,True : 1.7775487899780273 : 2172a2070c8240fdb2a2070c8250fd43,True,1.7775487899780273,aes_150,1636666958.497809,2172a2070c8240fdb2a2070c8250fd43
2021-11-11 16:42:39,1316,float_100-1636666959.486174,30,True,True : 1.315824031829834 : 7c779a2ef5e64aa8b79a2ef5e67aa8fa,True,1.315824031829834,float_100,1636666959.486174,7c779a2ef5e64aa8b79a2ef5e67aa8fa
2021-11-11 16:42:40,955,hello_150-1636666960.4019682,30,True,True : 0.9547898769378662 : fadb554eb414483b9b554eb414f83bf0,True,0.9547898769378662,hello_150,1636666960.4019682,fadb554eb414483b9b554eb414f83bf0
2021-11-11 16:42:41,223,hello_150-1636666961.4880986,40,True,False : 0.22347235679626465 : c8e7c057ce1a486ea7c057ce1a486e1e,False,0.22347235679626465,hello_150,1636666961.4880986,c8e7c057ce1a486ea7c057ce1a486e1e
2021-11-11 16:42:35,6382,json_150-1636666955.4821537,10,True,True : 6.382246732711792 : 19b64c86637b47feb64c86637b37fe36,True,6.382246732711792,json_150,1636666955.4821537,19b64c86637b47feb64c86637b37fe36
2021-11-11 16:42:34,8315,lin_pack_40-1636666954.479387,5,True,True : 8.3145432472229 : 25763ac3620a4b02b63ac3620a6b0220,True,8.3145432472229,lin_pack_40,1636666954.479387,25763ac3620a4b02b63ac3620a6b0220
2021-11-11 16:42:42,313,cham_100-1636666962.4941103,45,True,False : 0.3126838207244873 : a40c1cde3d3f4a888c1cde3d3f3a88bc,False,0.3126838207244873,cham_100,1636666962.4941103,a40c1cde3d3f4a888c1cde3d3f3a88bc
2021-11-11 16:42:41,1651,cham_150-1636666961.4896348,40,True,True : 1.6508982181549072 : 3671cd79a784424eb1cd79a784024e9e,True,1.6508982181549072,cham_150,1636666961.4896348,3671cd79a784424eb1cd79a784024e9e
2021-11-11 16:42:37,6327,lin_pack_100-1636666957.4831262,20,True,True : 6.327413558959961 : 27494c9706544ef6894c9706548ef6fb,True,6.327413558959961,lin_pack_100,1636666957.4831262,27494c9706544ef6894c9706548ef6fb
