start_time,duration,transaction_name,user_count,success,failure_message,cold,latency,function,invoke_time,activation_id
2021-11-11 16:59:09,2217,lin_pack_40-1636667949.1922085,5,True,True : 2.2169930934906006 : e235422830174274b54228301762743d,True,2.2169930934906006,lin_pack_40,1636667949.1922085,e235422830174274b54228301762743d
2021-11-11 16:59:09,2295,aes_40-1636667949.1881568,5,True,True : 2.2945783138275146 : 7560104c4f304c00a0104c4f308c0077,True,2.2945783138275146,aes_40,1636667949.1881568,7560104c4f304c00a0104c4f308c0077
2021-11-11 16:59:10,1360,float_150-1636667950.1958945,10,True,True : 1.3600292205810547 : c479f87098ff4984b9f87098ff4984f1,True,1.3600292205810547,float_150,1636667950.1958945,c479f87098ff4984b9f87098ff4984f1
2021-11-11 16:59:10,1508,lin_pack_100-1636667950.1928182,10,True,True : 1.5083973407745361 : 14e44dc64f5945bfa44dc64f59d5bf4a,True,1.5083973407745361,lin_pack_100,1636667950.1928182,14e44dc64f5945bfa44dc64f59d5bf4a
2021-11-11 16:59:11,1204,lin_pack_100-1636667951.1951933,15,True,True : 1.203967571258545 : acd2c76a2daf4f4792c76a2dafef4783,True,1.203967571258545,lin_pack_100,1636667951.1951933,acd2c76a2daf4f4792c76a2dafef4783
2021-11-11 16:59:12,206,lin_pack_100-1636667952.1940186,20,True,False : 0.2059798240661621 : f7791fedd25946c9b91fedd25926c907,False,0.2059798240661621,lin_pack_100,1636667952.1940186,f7791fedd25946c9b91fedd25926c907
2021-11-11 16:59:11,1491,gzip_75-1636667951.194468,15,True,True : 1.4908361434936523 : 1b2ad2649aeb41a7aad2649aeb81a72c,True,1.4908361434936523,gzip_75,1636667951.194468,1b2ad2649aeb41a7aad2649aeb81a72c
2021-11-11 16:59:12,1240,dd_75-1636667952.1985438,20,True,True : 1.2403767108917236 : c1bef0a6ef89478cbef0a6ef89778ce4,True,1.2403767108917236,dd_75,1636667952.1985438,c1bef0a6ef89478cbef0a6ef89778ce4
2021-11-11 16:59:12,816,float_150-1636667952.7667928,20,True,False : 0.8157751560211182 : f92c72f151a34391ac72f151a3c39183,False,0.8157751560211182,float_150,1636667952.7667928,f92c72f151a34391ac72f151a3c39183
2021-11-11 16:59:14,484,dd_75-1636667954.1595664,25,True,False : 0.4844224452972412 : 0eab40201a324762ab40201a321762e1,False,0.4844224452972412,dd_75,1636667954.1595664,0eab40201a324762ab40201a321762e1
2021-11-11 16:59:13,1922,json_100-1636667953.1966531,25,True,True : 1.921849250793457 : 0ad8073997424ba29807399742cba218,True,1.921849250793457,json_100,1636667953.1966531,0ad8073997424ba29807399742cba218
2021-11-11 16:59:12,2776,aes_150-1636667952.5076292,20,True,True : 2.7760236263275146 : 07a7a78fc1c944a6a7a78fc1c9c4a6c7,True,2.7760236263275146,aes_150,1636667952.5076292,07a7a78fc1c944a6a7a78fc1c9c4a6c7
2021-11-11 16:59:13,2666,aes_150-1636667953.1955018,25,True,True : 2.666182279586792 : 83fa67c304f64615ba67c304f6c615b7,True,2.666182279586792,aes_150,1636667953.1955018,83fa67c304f64615ba67c304f6c615b7
2021-11-11 16:59:16,177,float_150-1636667956.0424154,35,True,False : 0.17672038078308105 : 2755a956edc7422295a956edc7722266,False,0.17672038078308105,float_150,1636667956.0424154,2755a956edc7422295a956edc7722266
2021-11-11 16:59:09,7066,cham_100-1636667949.1896343,5,True,True : 7.065608501434326 : 62fd61ea1a5543c2bd61ea1a5583c2ef,True,7.065608501434326,cham_100,1636667949.1896343,62fd61ea1a5543c2bd61ea1a5583c2ef
2021-11-11 16:59:15,600,gzip_75-1636667955.9261158,35,True,False : 0.6002798080444336 : adbdb0d037d542f4bdb0d037d592f467,False,0.6002798080444336,gzip_75,1636667955.9261158,adbdb0d037d542f4bdb0d037d592f467
2021-11-11 16:59:09,7440,gzip_150-1636667949.1906276,5,True,True : 7.439515590667725 : 86a6432d94f24965a6432d94f2a96542,True,7.439515590667725,gzip_150,1636667949.1906276,86a6432d94f24965a6432d94f2a96542
2021-11-11 16:59:16,820,aes_150-1636667956.8448598,40,True,False : 0.8198821544647217 : df1e049e817c4b589e049e817c5b58a8,False,0.8198821544647217,aes_150,1636667956.8448598,df1e049e817c4b589e049e817c5b58a8
2021-11-11 16:59:16,1595,gzip_100-1636667956.2049851,40,True,True : 1.5948662757873535 : 32ae4b10460e4b48ae4b10460efb48c9,True,1.5948662757873535,gzip_100,1636667956.2049851,32ae4b10460e4b48ae4b10460efb48c9
2021-11-11 16:59:17,548,json_100-1636667957.486203,45,True,False : 0.5476984977722168 : 64049c017d804df4849c017d806df40e,False,0.5476984977722168,json_100,1636667957.486203,64049c017d804df4849c017d806df40e
2021-11-11 16:59:17,1509,cham_100-1636667957.2011735,45,True,False : 1.5085928440093994 : a725e123e996468aa5e123e996968ac9,False,1.5085928440093994,cham_100,1636667957.2011735,a725e123e996468aa5e123e996968ac9
2021-11-11 16:59:10,8675,json_150-1636667950.194373,10,True,True : 8.674880981445312 : 88d645e69a8e428e9645e69a8e928ea0,True,8.674880981445312,json_150,1636667950.194373,88d645e69a8e428e9645e69a8e928ea0
2021-11-11 16:59:18,768,gzip_75-1636667958.207982,50,True,False : 0.7679519653320312 : 7cada3f707b94081ada3f707b9b08156,False,0.7679519653320312,gzip_75,1636667958.207982,7cada3f707b94081ada3f707b9b08156
2021-11-11 16:59:17,1398,aes_150-1636667957.9250684,45,True,False : 1.3978378772735596 : 8938d202c2064d80b8d202c2065d8024,False,1.3978378772735596,aes_150,1636667957.9250684,8938d202c2064d80b8d202c2065d8024
2021-11-11 16:59:17,2392,gzip_150-1636667957.2044399,45,True,False : 2.391808271408081 : 51e92ab2466d48bea92ab2466da8bedf,False,2.391808271408081,gzip_150,1636667957.2044399,51e92ab2466d48bea92ab2466da8bedf
2021-11-11 16:59:19,1016,float_75-1636667959.1777484,50,True,True : 1.015990972518921 : d14c7dcf4b414ec88c7dcf4b41aec854,True,1.015990972518921,float_75,1636667959.1777484,d14c7dcf4b414ec88c7dcf4b41aec854
2021-11-11 16:59:09,11294,json_150-1636667949.1914282,5,True,True : 11.293647527694702 : bf73eb5d26014e28b3eb5d26010e2816,True,11.293647527694702,json_150,1636667949.1914282,bf73eb5d26014e28b3eb5d26010e2816
2021-11-11 16:59:19,1942,float_40-1636667959.3682837,55,True,True : 1.9419190883636475 : cb6bb114c9634d19abb114c9635d197a,True,1.9419190883636475,float_40,1636667959.3682837,cb6bb114c9634d19abb114c9635d197a
2021-11-11 16:59:11,10427,hello_150-1636667951.193384,15,True,True : 10.427433013916016 : 3ad78541ff614702978541ff61a70239,True,10.427433013916016,hello_150,1636667951.193384,3ad78541ff614702978541ff61a70239
2021-11-11 16:59:19,2654,aes_100-1636667959.2098968,55,True,True : 2.6543452739715576 : 4b5d72ad738542ad9d72ad738512adec,True,2.6543452739715576,aes_100,1636667959.2098968,4b5d72ad738542ad9d72ad738512adec
2021-11-11 16:59:19,2967,json_150-1636667959.2083952,55,True,False : 2.966646432876587 : c38e6b33556642c68e6b335566f2c609,False,2.966646432876587,json_150,1636667959.2083952,c38e6b33556642c68e6b335566f2c609
2021-11-11 16:59:19,2793,dd_40-1636667959.665942,55,True,True : 2.7931859493255615 : e089afb148e949cf89afb148e9a9cfa8,True,2.7931859493255615,dd_40,1636667959.665942,e089afb148e949cf89afb148e9a9cfa8
2021-11-11 16:59:22,223,lin_pack_100-1636667962.2646418,60,True,False : 0.22319388389587402 : 34269d78898647a6a69d788986b7a635,False,0.22319388389587402,lin_pack_100,1636667962.2646418,34269d78898647a6a69d788986b7a635
2021-11-11 16:59:11,10618,cham_75-1636667951.8872921,15,True,True : 10.617709636688232 : 8c30f8eca0ec47aab0f8eca0ec87aaf3,True,10.617709636688232,cham_75,1636667951.8872921,8c30f8eca0ec47aab0f8eca0ec87aaf3
2021-11-11 16:59:22,478,json_100-1636667962.1533802,60,True,False : 0.477938175201416 : 242ccaa660f44668accaa660f4e6680b,False,0.477938175201416,json_100,1636667962.1533802,242ccaa660f44668accaa660f4e6680b
2021-11-11 16:59:21,735,gzip_75-1636667961.9735932,60,True,False : 0.7345588207244873 : e814cb183d9b441494cb183d9b34147b,False,0.7345588207244873,gzip_75,1636667961.9735932,e814cb183d9b441494cb183d9b34147b
2021-11-11 16:59:20,2736,lin_pack_150-1636667960.2062402,60,True,True : 2.735524892807007 : dd318141228a41fab18141228ab1fa5b,True,2.735524892807007,lin_pack_150,1636667960.2062402,dd318141228a41fab18141228ab1fa5b
2021-11-11 16:59:15,7980,video_75-1636667955.1992955,35,True,True : 7.980116367340088 : 1db6b6db22684c62b6b6db22680c6209,True,7.980116367340088,video_75,1636667955.1992955,1db6b6db22684c62b6b6db22680c6209
2021-11-11 16:59:14,9125,video_100-1636667954.1997101,30,True,True : 9.12522840499878 : abed1a0f8c284c03ad1a0f8c284c03ce,True,9.12522840499878,video_100,1636667954.1997101,abed1a0f8c284c03ad1a0f8c284c03ce
2021-11-11 16:59:22,833,lin_pack_150-1636667962.9199817,60,True,False : 0.8327252864837646 : 6bdab45a6aaf49769ab45a6aafc97696,False,0.8327252864837646,lin_pack_150,1636667962.9199817,6bdab45a6aaf49769ab45a6aafc97696
2021-11-11 16:59:10,13587,cnn_150-1636667950.1910846,10,True,True : 13.586791038513184 : 586900f2ed06488ca900f2ed06888c99,True,13.586791038513184,cnn_150,1636667950.1910846,586900f2ed06488ca900f2ed06888c99
2021-11-11 16:59:22,1071,dd_75-1636667962.710405,60,True,False : 1.07114577293396 : 4383e32b1953496183e32b1953596109,False,1.07114577293396,dd_75,1636667962.710405,4383e32b1953496183e32b1953596109
2021-11-11 16:59:10,13745,image_40-1636667950.1893194,10,True,True : 13.745473861694336 : 928895232a78410c8895232a78010c47,True,13.745473861694336,image_40,1636667950.1893194,928895232a78410c8895232a78010c47
2021-11-11 16:59:23,277,float_75-1636667963.825862,60,True,False : 0.2765495777130127 : 55834df2555645ed834df2555615edad,False,0.2765495777130127,float_75,1636667963.825862,55834df2555645ed834df2555615edad
2021-11-11 16:59:16,8115,video_75-1636667956.2002199,40,True,True : 8.11458969116211 : ccf5b2d073204bb5b5b2d07320fbb592,True,8.11458969116211,video_75,1636667956.2002199,ccf5b2d073204bb5b5b2d07320fbb592
